國民英雄,小資女孩向前衝,犀利人妻,向前走向愛走,螺絲小姐要出嫁,金大花的華麗冒險,我租了一個情人,真愛黑白配
1.5,2.78,1.07,2.5,2.37,1.29,0.51,1.97
1.45,3.44,1.02,2.48,2.76,1.46,0.57,2.16
1.37,3.48,0.91,2.4,3.37,1.84,0.32,2.33
1.06,3.72,0.96,2.39,3.22,1.54,0.43,2.48
1.16,4.16,0.96,2.58,4.35,2.14,0.43,2.47
1.24,4.54,1.11,2.18,3.83,1.68,0.33,2.52
1.02,4.4,1.33,2.49,3.96,1.37,0.27,2.22
1.13,4.68,1.46,2.67,3.73,1.44,0.33,2.4
1.31,5.17,1.44,2.49,3.7,1.42,0.34,
1.18,4.89,1.47,2.23,3.35,1.37,0.38,
1.04,5.35,1.54,2.5,3.82,1.45,0.45,
1.11,5.97,1.81,2.37,3.72,,0.38,
0.95,5.56,1.93,2.44,4.19,,0.44,
0.95,5.35,2.43,2.45,4.04,,,
0.81,5.05,3.12,2.24,3.95,,0.38,
0.84,5.37,4.57,2.38,3.5,,0.42,
0.72,4.66,6.31,2.45,3.13,,,
1.01,5.78,7.11,1.97,3.35,,,
1.14,5.28,6.87,2.08,3.28,,,
,5.87,7.28,2.25,2.9,,,
,5.49,6.62,2.3,2.61,,,
,6.5,6.43,2.42,2.61,,,
,6.74,9.8,,4.18,,,
,6.48,,,,,,
,7.33,,,,,,
